Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology
08/31/2020,09/01/2020,26th Ward,26W,389.00,"263,535.64",Concentration below Method Limit of Quantification (above Method Limit of Detection),"290,608",RT-qPCR
08/31/2020,09/01/2020,Bowery Bay,BB,"1,204.00","443,632.86",,"924,695",RT-qPCR
08/31/2020,09/01/2020,Coney Island,CI,304.00,"168,551.56",Concentration below Method Limit of Quantification (above Method Limit of Detection),"682,342",RT-qPCR
08/31/2020,09/01/2020,Hunts Point,HP,940.00,"574,446.57",,"755,948",RT-qPCR
08/31/2020,09/01/2020,Jamaica Bay,JA,632.00,"233,077.74",,"748,737",RT-qPCR
08/31/2020,09/01/2020,Newtown Creek,NC,197.00,"122,396.84",Concentration below Method Limit of Quantification (above Method Limit of Detection),"1,156,473",RT-qPCR
08/31/2020,09/01/2020,North River,NR,,,Concentration below Method Limit of Detection,"658,596",RT-qPCR
08/31/2020,09/01/2020,Oakwood Beach,OB,,,Concentration below Method Limit of Detection,"258,731",RT-qPCR
08/31/2020,09/01/2020,Owls Head,OH,,,Concentration below Method Limit of Detection,"906,442",RT-qPCR
08/31/2020,09/01/2020,Port Richmond,PR,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells","226,167",RT-qPCR
08/31/2020,09/01/2020,Red Hook,RH,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells","224,029",RT-qPCR
08/31/2020,09/01/2020,Rockaway,RK,371.00,"209,796.41",Concentration below Method Limit of Quantification (above Method Limit of Detection),"120,539",RT-qPCR
08/31/2020,09/01/2020,Tallman Island,TI,571.00,"249,962.71","Concentration below Method Limit of Quantification (above Method Limit of Detection) - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells","449,907",RT-qPCR
08/31/2020,09/01/2020,Wards Island,WI,"1,339.00","780,535.46",,"1,201,485",RT-qPCR
09/02/2020,09/03/2020,26th Ward,26W,,,Concentration below Method Limit of Detection,"290,608",RT-qPCR
09/02/2020,09/03/2020,Bowery Bay,BB,,,Concentration below Method Limit of Detection,"924,695",RT-qPCR
09/02/2020,09/03/2020,Coney Island,CI,,,Analytical issue,"682,342",RT-qPCR
